Date,Johor,KL,Selangor,Perlis
1/1/2021,125.2,124,125.7,115.5
2/1/2021,125.7,124.2,126,115.9
3/1/2021,126.2,124.7,126.5,116.2
4/1/2021,126.4,124.9,126.6,116.2
5/1/2021,126.3,124.9,126.7,116.3
6/1/2021,126.5,124.9,126.8,116.4
7/1/2021,125.7,124.3,126.2,115.8
8/1/2021,125.7,124.4,126.2,115.8
9/1/2021,126,124.5,126.4,116.3
10/1/2021,126.9,125,127.6,117.2
11/1/2021,127.3,125.4,128.1,117.6
12/1/2021,127.7,125.6,128.7,118.3
1/1/2022,128,126.2,129.3,118.5
2/1/2022,128.1,126.5,129.6,119
3/1/2022,128.7,126.9,130.1,119.2
4/1/2022,129,127.1,130.5,119.4
5/1/2022,130,127.9,131.4,119.7
6/1/2022,131.2,128.8,132.2,120.3
7/1/2022,131.6,129,132.8,120.4
8/1/2022,131.8,129.4,133.2,120.4
9/1/2022,131.9,129.5,133.4,120.6
10/1/2022,131.9,129.8,133.8,121.4
11/1/2022,132.6,130.2,134.2,121.5
12/1/2022,132.7,130.4,134.5,121.6
1/1/2023,132.9,130.4,134.7,121.9
2/1/2023,133.4,130.7,135.2,122.1
3/1/2023,133.4,130.7,135.3,122.2
4/1/2023,133.3,130.6,135.4,122.3
5/1/2023,133.5,131.2,135.7,122.4
6/1/2023,133.7,131.4,135.8,122.6
7/1/2023,133.8,131.4,136,122.8
8/1/2023,134.1,131.5,136.2,123.3
