Date,Johor,KL,Selangor,Perlis,PPI
1/1/2021,125.2,124,125.7,115.5,107.2
2/1/2021,125.7,124.2,126,115.9,108.8
3/1/2021,126.2,124.7,126.5,116.2,109.6
4/1/2021,126.4,124.9,126.6,116.2,110.5
5/1/2021,126.3,124.9,126.7,116.3,111.6
6/1/2021,126.5,124.9,126.8,116.4,111.8
7/1/2021,125.7,124.3,126.2,115.8,112.5
8/1/2021,125.7,124.4,126.2,115.8,113.2
9/1/2021,126,124.5,126.4,116.3,113.6
10/1/2021,126.9,125,127.6,117.2,114.7
11/1/2021,127.3,125.4,128.1,117.6,116.3
12/1/2021,127.7,125.6,128.7,118.3,115.6
1/1/2022,128,126.2,129.3,118.5,117.1
2/1/2022,128.1,126.5,129.6,119,119.4
3/1/2022,128.7,126.9,130.1,119.2,122.3
4/1/2022,129,127.1,130.5,119.4,122.6
5/1/2022,130,127.9,131.4,119.7,124.1
6/1/2022,131.2,128.8,132.2,120.3,124
7/1/2022,131.6,129,132.8,120.4,121.1
8/1/2022,131.8,129.4,133.2,120.4,120.9
9/1/2022,131.9,129.5,133.4,120.6,119.2
10/1/2022,131.9,129.8,133.8,121.4,119.3
11/1/2022,132.6,130.2,134.2,121.5,120
12/1/2022,132.7,130.4,134.5,121.6,119.6
1/1/2023,132.9,130.4,134.7,121.9,118.6
2/1/2023,133.4,130.7,135.2,122.1,118.4
3/1/2023,133.4,130.7,135.3,122.2,118.7
4/1/2023,133.3,130.6,135.4,122.3,118.9
5/1/2023,133.5,131.2,135.7,122.4,118.4
6/1/2023,133.7,131.4,135.8,122.6,118.1
7/1/2023,133.8,131.4,136,122.8,118.3
8/1/2023,134.1,131.5,136.2,123.3,118.7
