date,overall,agriculture,mining,manufacturing,electricity,water
1/1/2010,98.4,92.7,99.4,98.8,99.8,99.2
2/1/2010,98.4,93.3,97.8,99,99.4,99.1
3/1/2010,99.9,96.1,108.6,99.2,100.5,99.2
4/1/2010,99.8,95.3,107.7,99.3,99.7,99.9
5/1/2010,98.6,94.1,91.4,99.8,100.3,101.5
6/1/2010,99,94.4,97.6,99.6,99.8,99.9
7/1/2010,98.5,93.7,98.4,98.9,100.3,99.6
8/1/2010,99,98.5,97,99.2,99.6,99.4
9/1/2010,98.8,99.4,90.4,99.8,99.8,99.5
10/1/2010,100.9,104.6,105.7,99.9,100.1,99.8
11/1/2010,102.9,114.2,100.5,102.2,99.5,101
12/1/2010,105.9,123.8,105.5,104.3,101.2,102
1/1/2011,108.3,131.5,109.8,106,100.9,102.8
2/1/2011,109.4,134.1,107.8,107.4,99.8,103
3/1/2011,111.8,123,133.2,108.4,101.2,104.3
4/1/2011,113.2,121,138.7,109.7,100.6,103.9
5/1/2011,113.2,121.4,137.2,110,100.7,104.3
6/1/2011,113.5,120.6,139.6,110.1,101.3,104.9
7/1/2011,113.3,115.6,143.6,109.8,103.8,105.1
8/1/2011,113.5,116.6,144.5,109.7,106.1,105
9/1/2011,113.2,116.1,143.9,109.3,107.7,103.9
10/1/2011,112.9,109.4,146.8,109.4,107.2,104.9
11/1/2011,112.2,113.2,140.2,108.8,109,104.2
12/1/2011,113.4,113.1,148.1,109.4,107.9,104.3
1/1/2012,113.4,115.5,142.1,109.9,108.3,103.5
2/1/2012,114,114.1,149.9,109.9,107.4,104.1
3/1/2012,115.3,118.3,157.2,110.2,108.4,104.1
4/1/2012,115.8,120.9,152.5,111.2,106.2,103
5/1/2012,114.1,114.8,139.5,111.3,107,103.5
6/1/2012,111.5,107.5,129.6,109.8,107.2,104.3
7/1/2012,112.4,108.7,138.3,109.9,106.6,105.2
8/1/2012,112.8,102.9,148.1,109.8,107,103.6
9/1/2012,110.8,100.6,145.1,107.8,106.4,104.4
10/1/2012,108.5,90.7,138.7,106.7,107.2,104.2
11/1/2012,107,89.4,128.8,106.1,107.1,104.5
12/1/2012,106,87.3,122.8,105.8,107.9,104.6
1/1/2013,107.9,91.6,137.5,105.9,107.3,105.6
2/1/2013,109.6,95.2,145.2,106.8,107.5,104.1
3/1/2013,108.2,93.4,135.4,106.4,108.3,104.7
4/1/2013,107.3,91.7,133.8,105.7,107.4,105.3
5/1/2013,106.6,91.7,129.6,105.3,108.4,104.2
6/1/2013,107.6,94.4,136.2,105.5,108.6,106.4
7/1/2013,108.2,93.2,141.4,105.6,108.1,108
8/1/2013,108.8,93,145.3,106.1,107.5,106.3
9/1/2013,109.4,93.8,145.9,106.6,108.2,107.9
10/1/2013,109.4,93.4,145,106.7,108.2,110.8
11/1/2013,110.2,98.4,144.7,107.3,107.4,108.3
12/1/2013,112.2,100.2,147.5,109.4,107.4,108.1
1/1/2014,111.9,99.9,144.4,109.3,110.4,106.6
2/1/2014,113.4,102.1,152,109.7,119.8,107.6
3/1/2014,113.9,107,147.9,110.2,121.5,107.7
4/1/2014,113.1,102.1,144.9,110.1,120.6,109
5/1/2014,112.2,99.5,145.4,109.1,121.5,107.1
6/1/2014,111.4,97,143.6,108.6,121.5,108.4
7/1/2014,111,95.4,137.9,108.9,122.6,106.8
8/1/2014,109.6,89.5,131,108.5,123.3,106.9
9/1/2014,109.2,87.4,133.2,108.2,117.4,107.5
10/1/2014,107.8,89.3,122.1,107.5,117,107.6
11/1/2014,107.3,90.8,116.1,107.6,115.7,108.3
12/1/2014,104.5,90.9,98.7,106.1,116.5,107.1
1/1/2015,104.1,95.2,88.8,106.4,115.8,107.4
2/1/2015,104.6,95,96.5,106.2,116.1,103.8
3/1/2015,103.8,95,92,105.7,116.9,107.8
4/1/2015,103.1,92,98.2,104.4,114.3,108
5/1/2015,101.6,91.4,94.7,103,115,109.1
6/1/2015,101.2,93.7,81,103.9,114.6,111.1
7/1/2015,101.1,92.1,81.2,104.1,112.3,110.6
8/1/2015,100.3,87.5,77.4,104,111.9,112.2
9/1/2015,101.6,88.4,80.5,105.2,111.8,112.1
10/1/2015,102.6,93.1,83.8,105.4,111.9,113.5
11/1/2015,101.6,91,79.1,105.1,110.9,113.8
12/1/2015,100.9,92.5,80.5,103.8,110.8,114.1
1/1/2016,99.5,95.8,66.9,103.4,111,113
2/1/2016,99.6,99,69.7,102.8,111.2,112.9
3/1/2016,99.7,102.9,69.1,102.7,111.1,112.8
4/1/2016,100.2,105.8,69.1,103,109.9,115.2
5/1/2016,99.5,105.9,72.8,101.7,110.9,114.2
6/1/2016,99.9,104.9,73.2,102.1,113.3,114.9
7/1/2016,99,102,67,102,113,113.8
8/1/2016,100.2,107.9,72.2,102.3,113.4,114.3
9/1/2016,102,113.4,71.4,104,113.4,114.8
10/1/2016,102.7,108.8,78.7,104.5,114.3,115.2
11/1/2016,103.8,115.3,75.3,105.7,114.2,114.2
12/1/2016,107.5,124.4,89.8,107.6,114.7,114.6
1/1/2017,109.6,127.8,95.5,109.2,114.6,113
2/1/2017,110.4,128,94.6,110.4,114.5,112.8
3/1/2017,108.7,117.1,92.1,109.6,114.8,113.9
4/1/2017,107.7,110,91.2,109.1,114.5,114
5/1/2017,107.5,112.7,85.1,109.4,114.2,114.5
6/1/2017,106.3,110.1,80.7,108.8,114.2,114.1
7/1/2017,106,110,83.1,108,114.9,114.3
8/1/2017,106.9,111.4,84.9,108.7,115.3,115.2
9/1/2017,108.1,115.1,93.4,108.9,114.8,114.3
10/1/2017,107.5,113.5,94.1,108.3,114.6,114.8
11/1/2017,108.3,113.2,98.4,108.7,114.8,114.4
12/1/2017,107.8,107.2,97.8,108.8,114.5,114.1
1/1/2018,108.3,110.1,104,108.4,114.1,114.1
2/1/2018,106.7,107.3,97.5,107.5,115.4,114.2
3/1/2018,106.3,104.2,97.4,107.1,116.3,114
4/1/2018,106.8,102.5,105.7,106.9,116.2,115.2
5/1/2018,107.1,101.9,110.5,106.7,116.6,114.6
6/1/2018,106.4,99,107.4,106.6,115.7,113.9
7/1/2018,106.7,97.4,110.2,106.7,116.2,114.6
8/1/2018,106.6,96.7,109.2,106.8,116,114.6
9/1/2018,107.9,96.2,120.4,107.1,115.9,114.8
10/1/2018,108.2,93.5,122.9,107.5,115.8,113.7
11/1/2018,105.2,87.5,102.8,106.7,116.2,114.3
12/1/2018,103.8,88.3,93.6,106,116.3,115
1/1/2019,104.4,94.7,95.3,105.9,116.6,113
2/1/2019,105,94.9,99.8,106.1,116.3,111.9
3/1/2019,104.7,89.4,100.3,106.2,118.8,112.1
4/1/2019,105.3,90.3,107.2,106,117.9,112.2
5/1/2019,105.5,88.9,110.1,106.1,118,112
6/1/2019,104.5,89.9,100.5,105.8,117.8,111.8
7/1/2019,104.4,91.1,99.3,105.7,118,111.4
8/1/2019,104.6,95.8,97.3,105.7,118.5,111.6
9/1/2019,105.3,95.1,103.1,106,117.4,111.6
10/1/2019,105.1,94.9,100.5,106.1,117.3,111.6
11/1/2019,106.5,104.9,109.4,105.9,116.9,111.7
12/1/2019,107.4,107.6,111.7,106.5,117.7,111.7
1/1/2020,107.3,111.7,104.1,106.9,117.8,111.7
2/1/2020,105.9,103.6,94.6,107,118.2,111
3/1/2020,102.7,101.4,64.4,106.8,118.4,111.8
4/1/2020,99.9,98.2,44.7,106.1,118.1,111.1
5/1/2020,99.7,93.8,52.1,105.3,117.8,110.8
6/1/2020,100.3,103.5,57.8,104.5,117.1,110.5
7/1/2020,100.7,104.4,62.6,104.3,116.5,110.7
8/1/2020,101.7,110.7,64.5,104.8,116.3,112.4
9/1/2020,101.2,113.5,58.6,104.6,116.4,112.7
10/1/2020,101.3,114.8,56.8,104.9,115.9,112.7
11/1/2020,103.3,127.5,59.3,105.8,116.7,112.7
12/1/2020,105.1,132.9,67,106.7,115.7,112.5
1/1/2021,107.2,136.9,74.6,108.1,115.6,112.3
2/1/2021,108.8,139.9,84.2,108.6,115.9,111.9
3/1/2021,109.6,143.1,85,109.2,116.8,111.7
4/1/2021,110.5,147.1,86,109.8,117.1,112.4
5/1/2021,111.6,150.1,87.8,110.6,117.9,112.5
6/1/2021,111.8,134.3,95,111.5,116.9,112.3
7/1/2021,112.5,137.3,98.7,111.7,116.7,112.1
8/1/2021,113.2,141.2,97.9,112.2,116.8,111.9
9/1/2021,113.6,141.6,98.5,112.7,116.2,111.8
10/1/2021,114.7,143.3,103.9,113.2,116.7,111.9
11/1/2021,116.3,151.8,101.5,114.7,116.4,112.9
12/1/2021,115.6,147.4,97.2,114.8,116.5,113.5
1/1/2022,117.1,154,100.2,115.7,116.6,113.7
2/1/2022,119.4,164.6,103.8,117.2,116.8,113.5
3/1/2022,122.3,178.7,109,118.9,117,113.6
4/1/2022,122.6,173.6,101.8,120.6,117.8,113.8
5/1/2022,124.1,175.2,105.9,121.8,117.2,113.9
6/1/2022,124,158.6,111.6,122.6,116.7,114.7
7/1/2022,121.1,123.2,107.6,122.8,117.7,114.4
8/1/2022,120.9,126.3,103.6,122.7,117.8,115.3
9/1/2022,119.2,119.6,98.5,121.8,117.6,116.6
10/1/2022,119.3,117.2,103.4,121.5,118.1,117.4
11/1/2022,120,123.7,103.9,121.8,118,117.6
12/1/2022,119.6,121.6,100.8,121.8,117.7,117.8
1/1/2023,118.6,121.8,98,120.9,118,118
2/1/2023,118.4,121.7,97.1,120.7,118,117.7
3/1/2023,118.7,127.5,96.5,120.6,118.6,117.4
4/1/2023,118.9,128.5,97,120.7,117.9,117.4
5/1/2023,118.4,127.6,94.6,120.4,118.6,117.3
6/1/2023,118.1,126.3,93.1,120.4,117.9,118.4
7/1/2023,118.3,127.6,96,120.2,117.8,118
8/1/2023,118.7,130.0,99.7,120.0,117.7,118.2
